Pressure,Channel,Total_Decisions,Deceptive_Decisions,Deceptive_Rate,social_all_pct,social_decept_pct,pressure_all_pct,pressure_decept_pct,risk_aware_all_pct,risk_aware_decept_pct,profit_focus_all_pct,profit_focus_decept_pct
Financial-Distress,FAKE,500,84,16.8,0.4,1.1904761904761905,1.7999999999999998,0.0,96.39999999999999,91.66666666666666,91.2,94.04761904761905
Financial-Distress,REAL,499,82,16.432865731462925,6.212424849699398,8.536585365853659,0.0,0.0,89.97995991983969,89.02439024390245,89.17835671342685,92.6829268292683
Price-War,FAKE,500,76,15.2,0.4,0.0,0.0,0.0,97.0,90.78947368421053,94.6,98.68421052631578
Price-War,REAL,499,104,20.841683366733466,3.006012024048096,0.9615384615384616,0.0,0.0,94.38877755511022,92.3076923076923,96.9939879759519,95.1923076923077
